用户,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01
17,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
18,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
19,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
20,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
21,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
22,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
23,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
24,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
25,新用户,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,回流,活跃,持续活跃
26,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
27,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
28,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
29,新用户,活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失
30,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
31,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃
32,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
33,新用户,活跃,不活跃,流失,回流,活跃,不活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失
34,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
35,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
36,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
37,新用户,不活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃
38,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
39,新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
40,新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,不活跃,流失
41,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
42,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
43,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃
44,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
45,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
46,新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失
47,新用户,活跃,持续活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,持续活跃
48,新用户,活跃,持续活跃,活跃,不活跃,活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,活跃,不活跃,活跃
49,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
50,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
51,新用户,不活跃,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
52,新用户,不活跃,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃
53,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃,持续活跃,活跃,不活跃,活跃,不活跃
54,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
55,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
56,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
57,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
58,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
59,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
60,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
61,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
62,新用户,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失
63,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,活跃,不活跃
64,新用户,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,活跃,不活跃,活跃,持续活跃,活跃,不活跃,活跃,持续活跃,活跃,持续活跃
65,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失
66,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
67,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
68,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
69,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
70,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
71,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
72,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
73,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
74,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
75,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
76,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
77,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
78,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
79,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
80,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
81,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失
82,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失
83,新用户,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
84,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
85,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
86,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
87,新用户,不活跃,流失,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失
88,未注册,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失
89,新用户,不活跃,活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,流失,回流
90,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
91,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
92,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
93,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
94,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
95,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,不活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃
96,新用户,活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃
97,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃,不活跃,流失,流失
98,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
99,新用户,不活跃,流失,回流,不活跃,流失,回流,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
100,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,不活跃,流失
101,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
102,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,不活跃,流失,流失
103,未注册,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
104,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
105,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
106,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,流失
107,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
108,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
109,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
110,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
111,新用户,不活跃,活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,不活跃,活跃,不活跃,活跃,持续活跃,持续活跃,活跃,不活跃,活跃,持续活跃
112,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
113,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
114,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失
115,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
116,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
117,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
118,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
119,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
120,新用户,活跃,持续活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
121,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
122,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
123,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
124,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
125,新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失,回流
126,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
127,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
128,新用户,活跃,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
129,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
130,新用户,活跃,不活跃,流失,流失,回流,活跃,持续活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失
131,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
132,新用户,活跃,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,回流,不活跃
133,新用户,活跃,持续活跃,活跃,持续活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
134,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
135,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
136,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
137,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
138,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
139,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
140,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
141,新用户,不活跃,活跃,持续活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,回流,不活跃
142,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,流失
143,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
144,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
145,新用户,活跃,持续活跃,持续活跃,持续活跃,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,活跃,持续活跃,活跃,持续活跃,活跃
146,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
147,新用户,活跃,不活跃,流失,回流,不活跃,流失,流失,回流,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
148,新用户,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,回流,活跃,不活跃,流失,流失
149,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
150,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
151,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
152,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,流失
153,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
154,新用户,不活跃,流失,流失,回流,不活跃,流失,流失,回流,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失
155,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
156,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
157,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
158,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
159,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
160,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
161,新用户,活跃,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,回流,不活跃,活跃,持续活跃,活跃,不活跃,活跃
162,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
163,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
164,新用户,活跃,持续活跃,活跃,不活跃,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,回流
165,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,回流
166,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,活跃,持续活跃,活跃,持续活跃,活跃
167,新用户,不活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失
168,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
169,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
170,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
171,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
172,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
173,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
174,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
175,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
176,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
177,新用户,活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,持续活跃,活跃,不活跃,活跃,不活跃
178,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
179,新用户,活跃,持续活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,回流,不活跃,流失,流失,流失
180,新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失
181,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
182,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,回流,不活跃,流失,流失,流失,回流,不活跃
183,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
184,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃
185,未注册,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,活跃,不活跃
186,新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
187,新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
188,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
189,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
190,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
191,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
192,新用户,不活跃,活跃,不活跃,流失,回流,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
193,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
194,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
195,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失
196,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
197,新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
198,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
199,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
200,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
201,新用户,不活跃,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,回流,不活跃,流失,回流,不活跃,流失
202,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
203,新用户,活跃,不活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
204,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
205,新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
206,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
207,新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失
208,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失
209,新用户,活跃,持续活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
210,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
211,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
212,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
213,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
214,新用户,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失
215,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
216,新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
