,用户,时间,数量,金额,月份
223,51,1997-12-01,1,11.49,1997-12-01
224,52,1997-01-02,3,80.95,1997-01-01
225,52,1997-01-06,2,23.14,1997-01-01
226,52,1997-01-19,2,33.98,1997-01-01
227,52,1997-01-22,2,27.74,1997-01-01
228,52,1997-01-29,3,38.33,1997-01-01
229,52,1997-05-18,4,59.84,1997-05-01
230,52,1997-06-21,7,104.72,1997-06-01
231,52,1998-05-08,2,76.98,1998-05-01
232,53,1997-01-01,1,19.99,1997-01-01
233,53,1997-08-19,1,14.37,1997-08-01
234,53,1997-12-10,1,11.49,1997-12-01
235,53,1998-01-27,1,11.88,1998-01-01
236,53,1998-02-09,1,14.49,1998-02-01
237,53,1998-05-04,1,13.99,1998-05-01
238,54,1997-01-01,2,33.96,1997-01-01
239,55,1997-01-01,5,66.09,1997-01-01
240,55,1997-01-10,1,15.36,1997-01-01
241,56,1997-01-01,2,27.73,1997-01-01
242,56,1997-01-17,1,15.96,1997-01-01
243,56,1997-06-01,2,21.54,1997-06-01
244,56,1997-12-17,4,63.96,1997-12-01
245,57,1997-01-01,4,57.86,1997-01-01
246,58,1997-01-01,1,20.99,1997-01-01
247,59,1997-01-01,1,13.99,1997-01-01
248,59,1997-01-09,1,11.77,1997-01-01
249,59,1997-01-25,1,10.77,1997-01-01
250,60,1997-02-01,2,21.75,1997-02-01
251,61,1997-01-01,11,155.65,1997-01-01
252,62,1997-01-01,3,32.91,1997-01-01
253,62,1997-01-17,1,17.96,1997-01-01
254,62,1997-02-13,1,13.97,1997-02-01
255,62,1997-03-08,2,24.54,1997-03-01
256,62,1997-03-14,2,28.14,1997-03-01
257,62,1997-05-14,2,14.55,1997-05-01
258,62,1997-05-21,1,5.78,1997-05-01
259,62,1997-08-27,1,15.36,1997-08-01
260,62,1997-10-01,2,25.98,1997-10-01
261,62,1997-10-16,1,15.99,1997-10-01
262,62,1997-10-29,3,41.97,1997-10-01
263,63,1997-01-01,3,44.97,1997-01-01
264,63,1997-11-22,2,26.98,1997-11-01
265,63,1998-04-18,2,24.48,1998-04-01
266,63,1998-05-21,2,24.48,1998-05-01
267,64,1997-01-03,1,11.77,1997-01-01
268,64,1997-02-12,2,13.98,1997-02-01
269,64,1997-05-12,1,11.77,1997-05-01
270,64,1997-05-13,1,14.96,1997-05-01
271,64,1997-07-22,1,15.36,1997-07-01
272,64,1997-09-20,3,41.47,1997-09-01
273,64,1997-11-04,3,53.47,1997-11-01
274,64,1997-11-28,8,59.92,1997-11-01
275,64,1997-12-30,3,41.97,1997-12-01
276,64,1998-03-03,1,7.68,1998-03-01
277,64,1998-04-11,2,35.48,1998-04-01
278,64,1998-04-23,2,21.98,1998-04-01
279,64,1998-06-25,3,37.56,1998-06-01
280,65,1997-01-01,1,18.77,1997-01-01
281,65,1998-02-16,2,35.98,1998-02-01
282,65,1998-03-22,1,13.99,1998-03-01
283,66,1997-01-01,1,39.99,1997-01-01
284,67,1997-01-01,2,29.73,1997-01-01
285,67,1997-01-08,1,29.99,1997-01-01
286,67,1997-01-17,1,11.77,1997-01-01
287,68,1997-01-01,2,40.36,1997-01-01
288,69,1997-01-01,6,105.31,1997-01-01
289,69,1997-01-04,8,111.77,1997-01-01
290,70,1997-01-01,5,72.23,1997-01-01
291,71,1997-01-01,1,13.97,1997-01-01
292,72,1997-01-01,1,11.99,1997-01-01
293,73,1997-01-01,1,13.97,1997-01-01
294,73,1997-02-28,2,24.14,1997-02-01
295,73,1997-03-16,4,56.46,1997-03-01
296,74,1997-01-01,1,41.99,1997-01-01
297,75,1997-01-01,5,69.81,1997-01-01
298,76,1997-01-01,1,9.99,1997-01-01
299,77,1997-01-01,1,12.97,1997-01-01
300,78,1997-01-13,3,41.52,1997-01-01
301,78,1998-04-23,4,53.74,1998-04-01
302,79,1997-01-01,6,77.44,1997-01-01
303,80,1997-01-01,4,43.46,1997-01-01
304,81,1997-01-01,2,74.76,1997-01-01
305,81,1997-01-10,2,56.36,1997-01-01
306,81,1997-01-17,3,35.31,1997-01-01
307,81,1997-02-02,2,27.76,1997-02-01
308,81,1997-02-20,3,35.31,1997-02-01
309,81,1997-03-05,1,14.99,1997-03-01
310,81,1997-04-05,1,13.77,1997-04-01
311,81,1997-05-24,1,14.96,1997-05-01
312,81,1997-06-05,5,82.79,1997-06-01
313,81,1997-06-09,1,7.78,1997-06-01
314,81,1997-06-19,1,14.96,1997-06-01
315,81,1997-07-22,1,11.97,1997-07-01
316,81,1997-09-15,2,26.98,1997-09-01
317,81,1997-09-27,1,12.99,1997-09-01
318,82,1997-01-01,3,38.5,1997-01-01
319,82,1997-04-19,3,48.5,1997-04-01
320,82,1997-09-27,2,30.98,1997-09-01
321,82,1997-11-23,3,43.97,1997-11-01
322,82,1998-02-27,3,40.56,1998-02-01
323,82,1998-04-10,3,40.29,1998-04-01
324,83,1997-01-01,1,13.0,1997-01-01
325,83,1997-01-26,3,47.69,1997-01-01
326,83,1997-07-23,3,19.5,1997-07-01
327,83,1998-04-18,1,21.49,1998-04-01
328,84,1997-01-01,1,13.97,1997-01-01
329,85,1997-01-03,3,26.31,1997-01-01
330,86,1997-01-01,2,23.94,1997-01-01
331,87,1997-01-01,7,103.37,1997-01-01
332,87,1997-05-31,2,29.92,1997-05-01
333,87,1997-07-31,3,45.28,1997-07-01
334,87,1997-10-08,2,27.98,1997-10-01
335,88,1997-02-24,1,14.99,1997-02-01
336,88,1997-10-22,2,19.98,1997-10-01
337,89,1997-01-01,3,47.08,1997-01-01
338,89,1997-01-11,2,30.72,1997-01-01
339,89,1997-01-29,2,30.72,1997-01-01
340,89,1997-03-27,2,27.13,1997-03-01
341,89,1997-04-11,1,20.97,1997-04-01
342,89,1997-05-27,1,15.36,1997-05-01
343,89,1997-07-30,4,60.67,1997-07-01
344,89,1997-08-23,2,46.42,1997-08-01
345,89,1997-10-17,2,27.48,1997-10-01
346,89,1997-10-30,2,18.98,1997-10-01
347,89,1997-12-05,3,39.97,1997-12-01
348,89,1997-12-22,2,29.48,1997-12-01
349,89,1997-12-26,3,31.97,1997-12-01
350,89,1997-12-29,1,19.49,1997-12-01
351,89,1998-01-23,2,34.98,1998-01-01
352,89,1998-02-11,2,26.98,1998-02-01
353,89,1998-02-27,1,22.49,1998-02-01
354,89,1998-06-10,1,40.99,1998-06-01
355,90,1997-01-01,1,12.9,1997-01-01
356,90,1997-01-08,1,11.77,1997-01-01
357,91,1997-01-01,2,32.54,1997-01-01
358,92,1997-01-01,2,35.98,1997-01-01
359,92,1997-04-16,1,17.36,1997-04-01
360,93,1997-01-01,9,122.09,1997-01-01
361,93,1997-01-03,5,97.24,1997-01-01
362,94,1997-01-02,4,44.1,1997-01-01
363,95,1997-01-03,3,53.53,1997-01-01
364,95,1997-01-14,3,47.11,1997-01-01
365,95,1997-01-24,5,91.26,1997-01-01
366,95,1997-02-03,2,37.98,1997-02-01
367,95,1997-02-08,1,27.77,1997-02-01
368,95,1997-02-10,2,25.13,1997-02-01
369,95,1997-02-17,1,19.77,1997-02-01
370,95,1997-03-04,4,67.46,1997-03-01
371,95,1997-03-25,2,42.73,1997-03-01
372,95,1997-04-14,1,14.37,1997-04-01
373,95,1997-04-27,2,29.33,1997-04-01
374,95,1997-05-11,2,26.56,1997-05-01
375,95,1997-05-11,2,30.32,1997-05-01
376,95,1997-05-26,2,29.33,1997-05-01
377,95,1997-06-10,1,11.77,1997-06-01
378,95,1997-06-30,1,28.18,1997-06-01
379,95,1997-08-25,4,66.46,1997-08-01
380,95,1997-09-21,4,45.96,1997-09-01
381,95,1997-12-09,6,90.94,1997-12-01
382,95,1997-12-19,2,82.98,1997-12-01
383,95,1998-01-10,3,42.47,1998-01-01
384,95,1998-02-02,2,24.98,1998-02-01
385,95,1998-02-08,8,109.24,1998-02-01
386,95,1998-02-24,5,105.45,1998-02-01
387,95,1998-03-16,6,82.42,1998-03-01
388,95,1998-04-28,7,106.93,1998-04-01
389,95,1998-05-07,3,59.97,1998-05-01
390,95,1998-06-10,4,65.44,1998-06-01
391,95,1998-06-24,4,49.43,1998-06-01
392,96,1997-01-01,4,57.67,1997-01-01
393,96,1997-02-09,4,61.91,1997-02-01
394,96,1997-02-14,3,29.5,1997-02-01
395,96,1997-02-22,1,96.99,1997-02-01
396,96,1997-03-15,6,75.22,1997-03-01
397,96,1997-04-08,3,49.94,1997-04-01
398,96,1997-04-17,4,60.48,1997-04-01
399,96,1997-06-24,1,12.97,1997-06-01
400,96,1997-07-09,2,23.74,1997-07-01
401,96,1997-08-03,7,102.21,1997-08-01
402,96,1997-10-30,4,114.46,1997-10-01
403,96,1997-11-18,5,234.45,1997-11-01
404,96,1997-12-07,1,248.49,1997-12-01
405,96,1998-01-02,4,68.46,1998-01-01
406,96,1998-01-17,4,45.46,1998-01-01
407,96,1998-02-24,2,28.37,1998-02-01
408,96,1998-03-09,3,30.86,1998-03-01
409,96,1998-05-07,4,54.85,1998-05-01
410,96,1998-06-27,4,49.96,1998-06-01
411,97,1997-01-01,6,91.57,1997-01-01
412,97,1997-10-22,6,80.94,1997-10-01
413,97,1998-02-08,4,128.87,1998-02-01
414,97,1998-03-28,2,23.37,1998-03-01
415,98,1997-01-01,2,46.14,1997-01-01
416,98,1997-05-23,2,30.32,1997-05-01
417,99,1997-01-01,2,25.94,1997-01-01
418,99,1997-01-19,2,28.34,1997-01-01
419,99,1997-04-24,2,28.93,1997-04-01
420,99,1997-07-26,4,52.1,1997-07-01
421,99,1997-10-11,2,24.98,1997-10-01
422,99,1997-11-13,3,40.97,1997-11-01
423,99,1997-12-16,1,65.99,1997-12-01
424,100,1997-01-01,1,13.77,1997-01-01
425,100,1997-12-11,1,12.49,1997-12-01
426,100,1998-04-20,2,28.98,1998-04-01
427,101,1997-01-18,2,23.54,1997-01-01
428,102,1997-01-01,1,14.37,1997-01-01
429,102,1997-02-10,1,25.99,1997-02-01
430,102,1997-11-28,1,11.49,1997-11-01
431,102,1998-03-01,4,105.62,1998-03-01
432,103,1997-02-17,4,51.08,1997-02-01
433,103,1997-04-06,2,29.75,1997-04-01
434,103,1998-04-17,3,29.66,1998-04-01
435,104,1997-01-01,1,14.96,1997-01-01
436,105,1997-01-01,3,35.31,1997-01-01
437,106,1997-01-01,2,31.52,1997-01-01
438,106,1997-01-19,2,29.92,1997-01-01
439,106,1997-06-26,2,30.72,1997-06-01
440,106,1997-11-04,2,27.98,1997-11-01
441,106,1997-12-30,1,36.99,1997-12-01
442,106,1998-01-31,3,44.97,1998-01-01
443,107,1997-01-01,1,21.99,1997-01-01
444,108,1997-01-01,1,17.96,1997-01-01
445,109,1997-01-12,5,71.89,1997-01-01
446,109,1997-02-02,7,132.57,1997-02-01
447,110,1997-01-01,2,27.94,1997-01-01
448,111,1997-01-01,1,35.99,1997-01-01
449,111,1997-01-11,1,32.99,1997-01-01
450,111,1997-03-15,4,77.96,1997-03-01
451,111,1997-04-16,3,59.3,1997-04-01
452,111,1997-04-24,2,134.98,1997-04-01
453,111,1997-06-23,1,91.92,1997-06-01
454,111,1997-07-22,3,47.08,1997-07-01
455,111,1997-07-26,2,71.96,1997-07-01
456,111,1997-10-25,3,78.47,1997-10-01
457,111,1997-12-06,3,83.47,1997-12-01
458,111,1998-01-18,4,84.46,1998-01-01
459,111,1998-02-15,4,123.96,1998-02-01
460,111,1998-02-21,2,32.98,1998-02-01
461,111,1998-02-26,2,23.06,1998-02-01
462,111,1998-05-10,1,72.99,1998-05-01
463,111,1998-06-20,3,55.47,1998-06-01
464,112,1997-01-01,1,11.77,1997-01-01
465,112,1997-02-05,1,11.77,1997-02-01
466,113,1997-01-01,3,32.91,1997-01-01
467,113,1998-03-04,1,15.27,1998-03-01
468,113,1998-03-07,1,11.49,1998-03-01
469,114,1997-01-01,1,16.36,1997-01-01
470,114,1997-05-01,2,28.13,1997-05-01
471,114,1997-09-08,1,22.97,1997-09-01
472,114,1998-02-10,1,28.49,1998-02-01
473,114,1998-02-11,2,28.98,1998-02-01
474,115,1997-01-01,1,13.97,1997-01-01
475,116,1997-01-01,1,12.77,1997-01-01
476,117,1997-01-01,2,18.74,1997-01-01
477,117,1997-08-31,2,24.74,1997-08-01
478,117,1998-03-19,1,15.49,1998-03-01
479,118,1997-01-01,1,15.36,1997-01-01
480,118,1997-06-24,4,58.49,1997-06-01
481,119,1997-01-01,3,41.69,1997-01-01
482,120,1997-01-01,1,22.97,1997-01-01
483,120,1997-02-22,1,14.96,1997-02-01
484,120,1997-03-30,1,11.77,1997-03-01
485,120,1997-05-17,1,42.32,1997-05-01
486,120,1997-12-18,1,11.49,1997-12-01
487,121,1997-01-01,1,12.49,1997-01-01
488,122,1997-01-01,2,27.74,1997-01-01
489,123,1997-01-01,1,31.99,1997-01-01
490,124,1997-01-01,2,28.93,1997-01-01
491,124,1997-09-13,2,28.48,1997-09-01
492,124,1997-10-16,2,26.98,1997-10-01
493,124,1997-11-02,2,25.98,1997-11-01
494,124,1997-12-12,2,27.98,1997-12-01
495,125,1997-01-01,3,37.47,1997-01-01
496,125,1997-06-22,1,13.72,1997-06-01
497,125,1997-10-17,1,12.99,1997-10-01
498,125,1997-11-21,1,6.49,1997-11-01
499,125,1998-02-09,1,11.49,1998-02-01
500,125,1998-06-08,2,26.48,1998-06-01
501,126,1997-01-03,1,9.77,1997-01-01
502,126,1997-12-02,2,292.98,1997-12-01
503,127,1997-01-01,3,39.71,1997-01-01
504,128,1997-01-01,3,20.37,1997-01-01
505,128,1997-01-09,1,12.49,1997-01-01
506,128,1997-02-07,2,22.75,1997-02-01
507,128,1997-08-03,1,12.25,1997-08-01
508,129,1997-01-01,1,12.49,1997-01-01
509,130,1997-01-01,1,14.37,1997-01-01
510,130,1997-01-25,1,5.99,1997-01-01
511,130,1997-02-08,3,42.89,1997-02-01
512,130,1997-06-01,1,10.77,1997-06-01
513,130,1997-07-01,1,5.99,1997-07-01
514,130,1997-08-13,1,14.96,1997-08-01
515,130,1997-11-08,1,12.99,1997-11-01
516,130,1998-04-29,1,12.99,1998-04-01
517,131,1997-01-01,2,30.32,1997-01-01
518,132,1997-01-01,3,53.69,1997-01-01
519,132,1997-02-27,5,54.65,1997-02-01
520,132,1997-04-01,2,27.13,1997-04-01
521,132,1997-06-16,4,57.45,1997-06-01
522,132,1997-10-06,5,67.95,1997-10-01
523,132,1998-05-11,3,41.56,1998-05-01
524,133,1997-01-01,1,18.99,1997-01-01
525,133,1997-01-27,1,14.37,1997-01-01
526,133,1997-02-01,1,9.77,1997-02-01
527,133,1997-03-02,1,15.99,1997-03-01
528,133,1997-05-04,3,47.33,1997-05-01
529,133,1997-06-21,3,59.74,1997-06-01
530,133,1997-11-11,2,32.98,1997-11-01
531,134,1997-01-01,1,17.9,1997-01-01
532,134,1997-05-05,1,9.99,1997-05-01
533,134,1998-01-08,1,21.49,1998-01-01
534,135,1997-01-01,3,41.7,1997-01-01
535,135,1997-01-01,3,42.69,1997-01-01
536,136,1997-01-01,2,44.98,1997-01-01
537,136,1997-11-26,2,36.98,1997-11-01
538,137,1997-01-01,2,27.73,1997-01-01
539,138,1997-01-01,1,14.99,1997-01-01
540,139,1997-01-06,1,11.77,1997-01-01
541,140,1997-01-01,1,28.7,1997-01-01
542,140,1997-05-03,1,15.36,1997-05-01
543,141,1997-01-01,1,19.97,1997-01-01
544,141,1997-03-16,2,19.54,1997-03-01
545,141,1997-04-16,1,22.77,1997-04-01
546,141,1997-08-27,2,44.34,1997-08-01
547,141,1997-10-24,1,5.49,1997-10-01
548,141,1998-02-22,1,11.88,1998-02-01
549,141,1998-05-07,2,23.76,1998-05-01
550,142,1997-01-02,1,15.36,1997-01-01
551,142,1997-01-13,3,49.97,1997-01-01
552,142,1997-03-30,1,19.99,1997-03-01
553,142,1998-02-19,1,12.58,1998-02-01
554,142,1998-04-11,1,24.49,1998-04-01
555,143,1997-01-01,1,12.49,1997-01-01
556,143,1997-01-01,1,28.99,1997-01-01
557,144,1997-01-01,2,30.72,1997-01-01
558,145,1997-01-01,1,14.79,1997-01-01
559,145,1997-01-02,1,11.77,1997-01-01
560,145,1997-01-12,2,26.73,1997-01-01
561,145,1997-01-30,2,20.75,1997-01-01
562,145,1997-02-25,1,15.96,1997-02-01
563,145,1997-03-12,2,29.93,1997-03-01
564,145,1997-03-12,4,56.47,1997-03-01
565,145,1997-03-14,3,28.54,1997-03-01
566,145,1997-04-05,1,13.97,1997-04-01
567,145,1997-05-02,2,30.32,1997-05-01
568,145,1997-05-03,1,15.96,1997-05-01
569,145,1997-05-26,1,13.97,1997-05-01
570,145,1997-07-07,1,13.97,1997-07-01
571,145,1997-08-15,2,27.13,1997-08-01
572,145,1997-09-13,2,25.98,1997-09-01
573,145,1997-10-31,1,12.99,1997-10-01
574,145,1997-11-06,1,12.99,1997-11-01
575,145,1997-11-19,3,55.97,1997-11-01
576,145,1998-02-23,1,12.58,1998-02-01
577,145,1998-02-26,2,24.46,1998-02-01
578,145,1998-03-14,1,11.88,1998-03-01
579,145,1998-05-06,1,17.48,1998-05-01
580,145,1998-05-30,2,27.37,1998-05-01
581,146,1997-01-01,1,13.97,1997-01-01
