用户,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01
20,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,引入期,引入期,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,0
25,引入期,引入期,0,0,0,0,休眠期,成熟期,流失期,活跃,流失期,0,0,0,0,休眠期,成熟期,成熟期
26,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,引入期,成长期,成熟期,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,休眠期,成熟期,休眠期,流失期,0,0,休眠期,流失期,0
30,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,成熟期,流失期
32,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0
33,引入期,成长期,流失期,0,休眠期,成熟期,流失期,活跃,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期,成熟期,休眠期,流失期,0
34,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,引入期,引入期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0
36,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,引入期,引入期,成长期,流失期,0,休眠期,流失期,活跃,流失期,0,休眠期,流失期,0,0,0,0,休眠期,流失期
38,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,引入期,引入期,成长期,流失期,活跃,流失期,0,0,0,0,0,0,0,0,休眠期,流失期,0,0
40,引入期,引入期,成长期,流失期,活跃,流失期,0,休眠期,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,0
41,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,0,休眠期,流失期,0,0,0,0,休眠期,流失期
44,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0
45,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,引入期,引入期,成长期,流失期,0,0,0,休眠期,流失期,活跃,成熟期,休眠期,流失期,0,0,0,0,0
47,引入期,成长期,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,休眠期,流失期,活跃,流失期,0,休眠期,成熟期,成熟期,休眠期,成熟期
48,引入期,成长期,成熟期,休眠期,流失期,活跃,成熟期,成熟期,休眠期,成熟期,成熟期,成熟期,成熟期,休眠期,成熟期,休眠期,流失期,活跃
49,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,引入期,引入期,0,0,0,0,休眠期,流失期,活跃,流失期,活跃,成熟期,休眠期,流失期,0,0,0,0
52,引入期,引入期,0,0,休眠期,成熟期,流失期,0,0,0,0,0,0,0,0,0,休眠期,流失期
53,引入期,引入期,0,0,0,0,0,休眠期,流失期,0,0,休眠期,成熟期,成熟期,休眠期,流失期,活跃,流失期
54,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,0,休眠期,流失期,0,0,0,0,0
57,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,引入期,成长期,成熟期,休眠期,成熟期,休眠期,流失期,活跃,流失期,活跃,流失期,0,0,0,0,0,0,0
63,引入期,引入期,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,休眠期,成熟期,流失期
64,引入期,成长期,流失期,0,休眠期,流失期,活跃,流失期,活跃,流失期,活跃,成熟期,休眠期,流失期,活跃,成熟期,休眠期,成熟期
65,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,休眠期,成熟期,流失期,0,0
66,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0
74,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0
79,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,引入期,成长期,成熟期,成熟期,成熟期,成熟期,成熟期,休眠期,成熟期,休眠期,流失期,0,0,0,0,0,0,0
82,引入期,引入期,0,休眠期,流失期,0,0,0,休眠期,流失期,活跃,流失期,0,休眠期,流失期,活跃,流失期,0
83,引入期,引入期,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,休眠期,流失期,0
84,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,引入期,引入期,0,0,休眠期,流失期,活跃,流失期,0,休眠期,流失期,0,0,0,0,0,0,0
88,0,引入期,引入期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0
89,引入期,引入期,成长期,成熟期,成熟期,休眠期,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,成熟期,成熟期,休眠期,流失期,0,休眠期
90,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,引入期,引入期,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0
93,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,引入期,成长期,成熟期,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,活跃,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期
96,引入期,成长期,成熟期,成熟期,休眠期,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期
97,引入期,引入期,0,0,0,0,0,0,0,休眠期,流失期,0,0,休眠期,成熟期,流失期,0,0
98,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0
99,引入期,引入期,0,休眠期,流失期,0,休眠期,流失期,0,休眠期,成熟期,成熟期,休眠期,流失期,0,0,0,0
100,引入期,引入期,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,休眠期,流失期,0
101,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,引入期,成长期,流失期,0,0,0,0,0,0,0,休眠期,流失期,0,0,休眠期,流失期,0,0
103,0,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0
104,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,休眠期,成熟期,成熟期,休眠期,流失期,0,0,0
107,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,引入期,引入期,成长期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,活跃,流失期,活跃,成熟期,成熟期,休眠期,流失期,活跃,成熟期
112,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0
114,引入期,引入期,0,0,休眠期,流失期,0,0,休眠期,流失期,0,0,0,休眠期,流失期,0,0,0
115,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,引入期,引入期,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,休眠期,流失期,0,0
118,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0
119,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,引入期,成长期,成熟期,休眠期,成熟期,休眠期,流失期,0,0,0,0,休眠期,流失期,0,0,0,0,0
121,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,引入期,引入期,0,0,0,0,0,0,休眠期,成熟期,成熟期,成熟期,休眠期,流失期,0,0,0,0
125,引入期,引入期,0,0,0,休眠期,流失期,0,0,休眠期,成熟期,流失期,0,休眠期,流失期,0,0,休眠期
126,引入期,引入期,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0
127,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,引入期,成长期,流失期,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0
129,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,引入期,成长期,流失期,0,0,休眠期,成熟期,成熟期,休眠期,流失期,活跃,流失期,0,0,0,休眠期,流失期,0
131,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,引入期,成长期,流失期,活跃,流失期,活跃,流失期,0,0,休眠期,流失期,0,0,0,0,0,休眠期,流失期
133,引入期,成长期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,0,0,休眠期,流失期,0,0,0,0,0,0
134,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0
135,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,引入期,引入期,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0
137,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0
141,引入期,引入期,成长期,成熟期,休眠期,流失期,0,休眠期,流失期,活跃,流失期,0,0,休眠期,流失期,0,休眠期,流失期
142,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,休眠期,流失期,活跃,流失期,0
143,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,引入期,成长期,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期,成熟期,成熟期,成熟期,休眠期,流失期,活跃,成熟期,休眠期,成熟期,休眠期
146,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,引入期,成长期,流失期,0,休眠期,流失期,0,0,休眠期,流失期,活跃,成熟期,休眠期,流失期,0,0,0,0
148,引入期,成长期,流失期,0,0,休眠期,流失期,0,0,0,休眠期,流失期,0,休眠期,成熟期,流失期,0,0
149,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,引入期,成长期,流失期,0,0,0,0,0,0,休眠期,流失期,0,休眠期,流失期,0,0,0,0
153,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,引入期,引入期,0,0,休眠期,流失期,0,0,休眠期,流失期,活跃,流失期,0,0,0,休眠期,流失期,0
155,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,引入期,成长期,流失期,活跃,流失期,0,0,0,休眠期,流失期,0,休眠期,流失期,活跃,成熟期,休眠期,流失期,活跃
162,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,引入期,成长期,成熟期,休眠期,流失期,活跃,成熟期,休眠期,流失期,0,0,休眠期,流失期,0,0,0,0,休眠期
165,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,休眠期
166,引入期,引入期,0,0,0,0,0,0,0,0,休眠期,成熟期,流失期,活跃,成熟期,休眠期,成熟期,休眠期
167,引入期,引入期,成长期,流失期,0,休眠期,流失期,0,0,休眠期,成熟期,成熟期,休眠期,流失期,0,0,0,0
168,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,引入期,引入期,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,0
171,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0
174,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,引入期,成长期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,成熟期,休眠期,流失期,活跃,流失期
178,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,引入期,成长期,成熟期,休眠期,流失期,0,休眠期,成熟期,成熟期,休眠期,流失期,0,0,休眠期,流失期,0,0,0
180,引入期,引入期,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0
181,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,引入期,引入期,0,0,0,0,0,0,休眠期,流失期,0,休眠期,流失期,0,0,0,休眠期,流失期
183,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期
185,0,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,活跃,流失期
186,引入期,引入期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0
187,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,引入期,引入期,成长期,流失期,0,休眠期,成熟期,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0
193,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,引入期,引入期,0,0,0,0,0,0,0,休眠期,成熟期,流失期,活跃,流失期,0,0,0,0
196,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,引入期,引入期,成长期,流失期,活跃,流失期,0,0,0,0,0,0,0,0,0,0,0,0
198,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,引入期,引入期,0,休眠期,流失期,0,0,0,0,休眠期,流失期,0,休眠期,流失期,0,休眠期,流失期,0
202,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,引入期,成长期,流失期,活跃,流失期,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0
204,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,引入期,引入期,成长期,流失期,活跃,流失期,0,0,0,0,0,休眠期,流失期,0,0,0,0,0
206,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,引入期,引入期,成长期,流失期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0
208,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0,0
209,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0
210,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0
211,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,引入期,引入期,0,休眠期,成熟期,流失期,0,0,0,休眠期,流失期,0,0,0,0,0,0,0
215,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,引入期,引入期,0,0,0,0,0,0,0,0,0,休眠期,成熟期,流失期,0,0,0,休眠期
218,0,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0
220,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,引入期,成长期,流失期,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0
223,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,引入期,成长期,流失期,活跃,流失期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0
226,引入期,成长期,流失期,活跃,流失期,0,休眠期,流失期,0,0,0,0,0,休眠期,流失期,0,休眠期,流失期
227,引入期,引入期,成长期,流失期,活跃,流失期,0,休眠期,流失期,0,0,0,0,0,0,0,0,0
228,引入期,成长期,成熟期,休眠期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,0,休眠期,成熟期,流失期,0,0,0,0
229,引入期,引入期,0,0,0,0,0,休眠期,流失期,0,0,0,0,0,休眠期,流失期,0,休眠期
230,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0
231,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,引入期,成长期,流失期,活跃,流失期,活跃,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0,0
239,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,引入期,引入期,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,休眠期,流失期,活跃,流失期
242,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,引入期,成长期,成熟期,成熟期,休眠期,流失期,活跃,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,休眠期,成熟期,成熟期,成熟期,成熟期
245,引入期,引入期,成长期,流失期,0,0,0,0,0,休眠期,流失期,活跃,成熟期,休眠期,流失期,0,0,休眠期
246,引入期,成长期,流失期,活跃,成熟期,成熟期,成熟期,休眠期,成熟期,成熟期,休眠期,成熟期,休眠期,成熟期,成熟期,休眠期,流失期,活跃
247,0,引入期,引入期,0,0,0,休眠期,流失期,0,0,0,休眠期,流失期,0,0,0,休眠期,流失期
248,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,引入期,引入期,0,0,0,0,休眠期,成熟期,流失期,0,0,0,0,0,0,0,0,0
251,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,休眠期
253,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,引入期,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0
257,引入期,引入期,0,0,0,0,0,0,0,休眠期,流失期,0,0,0,0,休眠期,流失期,0
258,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,引入期,引入期,成长期,成熟期,休眠期,流失期,0,0,0,0,0,0,0,0,0,0,0,0
273,引入期,引入期,成长期,流失期,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,引入期,引入期,0,0,0,0,休眠期,流失期,0,0,0,0,0,0,0,0,0,休眠期
277,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,休眠期,流失期,0,0
278,引入期,引入期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
