用户,F,R,M,用户类型
221,0,1,0,一般发展客户
222,0,0,0,一般挽留客户
223,0,1,0,一般发展客户
224,0,1,0,一般发展客户
225,1,0,0,一般保持客户
226,1,0,1,重要保持客户
227,0,0,1,重要挽留客户
228,1,0,1,重要保持客户
229,0,0,0,一般挽留客户
230,0,1,0,一般发展客户
231,0,1,0,一般发展客户
232,0,1,0,一般发展客户
233,0,1,0,一般发展客户
234,0,1,0,一般发展客户
235,0,1,0,一般发展客户
236,0,1,0,一般发展客户
237,0,1,0,一般发展客户
238,1,0,1,重要保持客户
239,0,1,0,一般发展客户
240,0,1,0,一般发展客户
241,0,0,0,一般挽留客户
242,0,1,0,一般发展客户
243,0,1,0,一般发展客户
244,1,0,1,重要保持客户
245,1,0,1,重要保持客户
246,1,0,1,重要保持客户
247,0,0,0,一般挽留客户
248,0,1,0,一般发展客户
249,0,1,0,一般发展客户
250,0,0,0,一般挽留客户
251,0,1,0,一般发展客户
252,1,0,1,重要保持客户
253,0,1,0,一般发展客户
254,0,1,0,一般发展客户
255,0,1,0,一般发展客户
256,0,1,0,一般发展客户
257,0,0,0,一般挽留客户
258,0,1,0,一般发展客户
259,0,1,0,一般发展客户
260,0,1,0,一般发展客户
261,0,1,0,一般发展客户
262,0,1,0,一般发展客户
263,0,1,0,一般发展客户
264,0,1,0,一般发展客户
265,0,1,1,重要发展客户
266,0,1,0,一般发展客户
267,0,1,0,一般发展客户
268,0,1,0,一般发展客户
269,0,1,0,一般发展客户
270,1,1,1,重要价值客户
271,0,1,0,一般发展客户
272,0,1,0,一般发展客户
273,0,1,0,一般发展客户
274,0,1,0,一般发展客户
275,0,1,0,一般发展客户
276,1,0,1,重要保持客户
277,0,0,0,一般挽留客户
278,0,1,0,一般发展客户
279,0,0,1,重要挽留客户
280,1,1,1,重要价值客户
281,0,1,0,一般发展客户
282,0,1,0,一般发展客户
283,0,1,0,一般发展客户
284,0,1,0,一般发展客户
285,0,1,0,一般发展客户
286,0,1,0,一般发展客户
287,0,1,0,一般发展客户
288,0,1,0,一般发展客户
289,0,1,0,一般发展客户
290,0,1,0,一般发展客户
291,1,1,1,重要价值客户
292,0,0,0,一般挽留客户
293,1,0,1,重要保持客户
294,0,0,0,一般挽留客户
295,1,0,1,重要保持客户
296,0,1,0,一般发展客户
297,0,1,0,一般发展客户
298,0,1,0,一般发展客户
299,0,0,0,一般挽留客户
300,1,0,1,重要保持客户
301,1,0,1,重要保持客户
302,0,1,0,一般发展客户
303,0,1,0,一般发展客户
304,1,1,1,重要价值客户
305,1,0,1,重要保持客户
306,0,1,0,一般发展客户
307,0,1,0,一般发展客户
308,0,1,0,一般发展客户
309,0,1,0,一般发展客户
310,0,1,0,一般发展客户
311,0,1,0,一般发展客户
312,0,0,0,一般挽留客户
313,1,0,1,重要保持客户
314,1,1,1,重要价值客户
315,0,1,0,一般发展客户
316,0,0,0,一般挽留客户
317,1,0,1,重要保持客户
318,0,0,0,一般挽留客户
319,0,1,0,一般发展客户
320,0,1,0,一般发展客户
321,0,1,0,一般发展客户
322,0,0,0,一般挽留客户
323,1,0,1,重要保持客户
324,0,0,0,一般挽留客户
325,0,1,0,一般发展客户
326,0,1,0,一般发展客户
327,0,1,0,一般发展客户
328,1,0,1,重要保持客户
329,0,0,0,一般挽留客户
330,0,1,0,一般发展客户
331,0,1,0,一般发展客户
332,0,1,0,一般发展客户
333,0,1,0,一般发展客户
334,0,1,0,一般发展客户
335,0,1,0,一般发展客户
336,0,1,0,一般发展客户
337,0,0,0,一般挽留客户
338,0,1,0,一般发展客户
339,1,0,1,重要保持客户
340,0,1,0,一般发展客户
341,0,0,1,重要挽留客户
342,0,1,0,一般发展客户
343,1,0,1,重要保持客户
344,1,0,1,重要保持客户
345,0,0,0,一般挽留客户
346,0,1,0,一般发展客户
347,0,1,0,一般发展客户
348,0,0,0,一般挽留客户
349,0,1,0,一般发展客户
350,0,1,0,一般发展客户
351,0,1,0,一般发展客户
352,0,1,0,一般发展客户
353,0,1,0,一般发展客户
354,0,1,0,一般发展客户
355,0,1,0,一般发展客户
356,0,1,0,一般发展客户
357,0,1,0,一般发展客户
358,1,0,1,重要保持客户
359,0,1,0,一般发展客户
360,1,0,0,一般保持客户
361,0,0,0,一般挽留客户
362,0,1,0,一般发展客户
363,0,1,0,一般发展客户
364,0,1,0,一般发展客户
365,1,0,1,重要保持客户
366,0,1,0,一般发展客户
367,0,1,0,一般发展客户
368,1,0,1,重要保持客户
369,0,1,0,一般发展客户
370,1,0,1,重要保持客户
371,0,0,0,一般挽留客户
372,0,1,0,一般发展客户
373,1,0,1,重要保持客户
374,1,0,1,重要保持客户
375,0,0,1,重要挽留客户
376,0,0,0,一般挽留客户
377,0,1,0,一般发展客户
378,0,1,0,一般发展客户
379,0,1,0,一般发展客户
380,0,1,0,一般发展客户
381,0,0,0,一般挽留客户
382,0,1,0,一般发展客户
383,0,1,0,一般发展客户
384,0,1,0,一般发展客户
385,0,1,0,一般发展客户
386,0,1,0,一般发展客户
387,1,0,1,重要保持客户
388,0,1,0,一般发展客户
389,1,0,1,重要保持客户
390,0,1,0,一般发展客户
391,0,1,0,一般发展客户
392,0,1,0,一般发展客户
393,0,1,0,一般发展客户
394,0,1,0,一般发展客户
395,0,1,0,一般发展客户
396,1,0,1,重要保持客户
397,0,1,0,一般发展客户
398,1,0,1,重要保持客户
399,0,1,0,一般发展客户
400,1,0,1,重要保持客户
401,0,1,0,一般发展客户
402,0,1,0,一般发展客户
403,0,1,0,一般发展客户
404,1,0,1,重要保持客户
405,0,1,0,一般发展客户
406,1,0,1,重要保持客户
407,0,1,0,一般发展客户
408,0,1,0,一般发展客户
409,0,1,0,一般发展客户
410,0,0,0,一般挽留客户
411,1,0,1,重要保持客户
412,0,0,0,一般挽留客户
413,0,1,0,一般发展客户
414,0,1,0,一般发展客户
415,0,1,0,一般发展客户
416,0,1,0,一般发展客户
417,1,0,1,重要保持客户
418,0,1,0,一般发展客户
419,0,1,1,重要发展客户
420,0,1,0,一般发展客户
421,1,0,1,重要保持客户
422,1,1,1,重要价值客户
423,0,1,0,一般发展客户
424,1,0,1,重要保持客户
425,0,1,0,一般发展客户
426,0,1,0,一般发展客户
427,0,1,0,一般发展客户
428,0,1,0,一般发展客户
429,0,0,0,一般挽留客户
430,1,0,1,重要保持客户
431,1,0,1,重要保持客户
432,0,1,0,一般发展客户
433,1,0,1,重要保持客户
434,0,1,0,一般发展客户
435,0,1,0,一般发展客户
436,1,1,1,重要价值客户
437,0,1,0,一般发展客户
438,0,1,0,一般发展客户
439,0,1,0,一般发展客户
440,0,1,0,一般发展客户
441,1,0,1,重要保持客户
442,0,1,0,一般发展客户
443,0,1,0,一般发展客户
444,0,1,0,一般发展客户
445,1,0,1,重要保持客户
446,0,0,1,重要挽留客户
447,0,1,0,一般发展客户
448,0,1,0,一般发展客户
449,0,1,0,一般发展客户
450,0,1,0,一般发展客户
451,0,1,0,一般发展客户
452,0,1,0,一般发展客户
453,1,1,1,重要价值客户
454,0,0,0,一般挽留客户
455,0,1,0,一般发展客户
456,1,0,1,重要保持客户
457,1,1,1,重要价值客户
458,0,0,0,一般挽留客户
459,0,1,0,一般发展客户
460,0,1,0,一般发展客户
461,1,0,1,重要保持客户
462,0,1,0,一般发展客户
463,0,1,0,一般发展客户
464,1,0,1,重要保持客户
465,0,1,0,一般发展客户
466,0,1,0,一般发展客户
467,0,1,0,一般发展客户
468,0,0,0,一般挽留客户
469,0,1,0,一般发展客户
470,0,1,0,一般发展客户
471,1,1,1,重要价值客户
472,1,1,1,重要价值客户
473,0,1,0,一般发展客户
474,1,0,1,重要保持客户
475,0,1,0,一般发展客户
476,0,1,0,一般发展客户
477,0,1,0,一般发展客户
478,0,1,0,一般发展客户
479,0,1,0,一般发展客户
480,0,1,0,一般发展客户
481,0,1,0,一般发展客户
482,0,1,0,一般发展客户
483,0,1,0,一般发展客户
484,1,0,1,重要保持客户
485,1,0,1,重要保持客户
486,0,1,0,一般发展客户
487,0,1,0,一般发展客户
488,0,0,0,一般挽留客户
489,0,1,0,一般发展客户
490,0,0,0,一般挽留客户
491,0,1,0,一般发展客户
492,1,0,1,重要保持客户
493,0,1,0,一般发展客户
494,0,1,0,一般发展客户
495,0,1,0,一般发展客户
496,0,0,0,一般挽留客户
497,0,1,0,一般发展客户
498,1,1,1,重要价值客户
499,1,0,1,重要保持客户
500,0,1,0,一般发展客户
501,0,1,0,一般发展客户
502,0,0,0,一般挽留客户
503,0,1,0,一般发展客户
504,1,0,1,重要保持客户
505,0,0,0,一般挽留客户
506,0,1,0,一般发展客户
507,0,1,0,一般发展客户
508,0,1,0,一般发展客户
509,0,1,0,一般发展客户
510,0,1,0,一般发展客户
511,0,1,0,一般发展客户
512,0,1,0,一般发展客户
513,0,1,0,一般发展客户
514,0,1,0,一般发展客户
515,0,1,0,一般发展客户
516,0,1,0,一般发展客户
517,0,1,0,一般发展客户
518,0,1,0,一般发展客户
519,1,0,1,重要保持客户
520,0,1,0,一般发展客户
521,0,1,0,一般发展客户
522,0,1,0,一般发展客户
523,1,0,1,重要保持客户
524,0,1,0,一般发展客户
525,0,0,0,一般挽留客户
526,0,1,0,一般发展客户
527,0,1,0,一般发展客户
528,0,1,0,一般发展客户
529,0,1,0,一般发展客户
530,0,1,0,一般发展客户
531,0,1,0,一般发展客户
532,0,1,0,一般发展客户
533,0,1,0,一般发展客户
534,0,1,0,一般发展客户
535,0,1,0,一般发展客户
536,0,1,0,一般发展客户
537,0,1,0,一般发展客户
538,0,1,0,一般发展客户
539,0,1,0,一般发展客户
540,0,1,0,一般发展客户
541,0,1,0,一般发展客户
542,0,1,0,一般发展客户
543,0,1,0,一般发展客户
544,0,1,0,一般发展客户
545,1,0,1,重要保持客户
546,1,0,1,重要保持客户
547,1,0,1,重要保持客户
548,1,0,1,重要保持客户
549,0,1,0,一般发展客户
550,0,1,0,一般发展客户
551,0,1,1,重要发展客户
552,0,1,0,一般发展客户
553,0,1,0,一般发展客户
554,0,1,0,一般发展客户
555,0,1,0,一般发展客户
556,1,1,1,重要价值客户
557,0,1,0,一般发展客户
558,0,1,0,一般发展客户
559,1,0,1,重要保持客户
560,0,1,0,一般发展客户
561,1,0,1,重要保持客户
562,0,1,0,一般发展客户
563,0,1,0,一般发展客户
564,1,0,1,重要保持客户
565,1,1,1,重要价值客户
566,1,0,1,重要保持客户
567,1,0,1,重要保持客户
568,0,0,0,一般挽留客户
569,0,0,0,一般挽留客户
570,1,0,1,重要保持客户
571,0,1,0,一般发展客户
572,1,0,1,重要保持客户
573,0,0,0,一般挽留客户
574,0,1,0,一般发展客户
575,0,1,0,一般发展客户
576,0,1,0,一般发展客户
577,0,1,0,一般发展客户
578,0,1,0,一般发展客户
579,0,1,0,一般发展客户
580,0,1,0,一般发展客户
581,0,1,0,一般发展客户
582,1,0,1,重要保持客户
583,1,0,1,重要保持客户
584,0,1,0,一般发展客户
585,1,0,1,重要保持客户
586,1,0,1,重要保持客户
587,1,0,1,重要保持客户
588,0,1,0,一般发展客户
589,0,0,0,一般挽留客户
590,0,0,0,一般挽留客户
591,0,0,0,一般挽留客户
592,1,1,1,重要价值客户
593,1,0,1,重要保持客户
594,0,1,0,一般发展客户
595,0,0,0,一般挽留客户
596,0,0,0,一般挽留客户
597,0,1,0,一般发展客户
598,0,0,0,一般挽留客户
599,0,0,0,一般挽留客户
600,0,1,0,一般发展客户
601,0,1,0,一般发展客户
602,1,0,1,重要保持客户
603,0,1,0,一般发展客户
604,0,1,0,一般发展客户
605,0,1,0,一般发展客户
606,0,0,0,一般挽留客户
607,0,1,0,一般发展客户
608,1,0,1,重要保持客户
609,1,0,1,重要保持客户
610,0,0,1,重要挽留客户
611,0,0,0,一般挽留客户
612,0,1,0,一般发展客户
613,0,1,0,一般发展客户
614,0,0,0,一般挽留客户
615,0,1,0,一般发展客户
616,0,0,0,一般挽留客户
617,0,1,0,一般发展客户
618,0,1,0,一般发展客户
619,1,0,1,重要保持客户
620,0,1,0,一般发展客户
621,0,1,0,一般发展客户
622,0,1,0,一般发展客户
623,0,1,0,一般发展客户
624,1,0,1,重要保持客户
625,0,0,0,一般挽留客户
626,1,0,1,重要保持客户
627,0,1,0,一般发展客户
628,0,1,0,一般发展客户
629,1,0,1,重要保持客户
630,0,1,0,一般发展客户
631,0,0,0,一般挽留客户
632,0,1,0,一般发展客户
633,1,0,1,重要保持客户
634,0,1,0,一般发展客户
635,1,0,1,重要保持客户
636,0,1,0,一般发展客户
637,0,1,0,一般发展客户
638,0,0,0,一般挽留客户
639,0,1,0,一般发展客户
640,0,1,0,一般发展客户
641,0,1,0,一般发展客户
642,0,1,0,一般发展客户
643,1,0,1,重要保持客户
644,0,1,0,一般发展客户
645,0,0,0,一般挽留客户
646,0,0,0,一般挽留客户
647,0,0,0,一般挽留客户
648,0,1,1,重要发展客户
649,0,0,0,一般挽留客户
650,0,1,0,一般发展客户
651,0,1,0,一般发展客户
652,0,1,0,一般发展客户
653,0,0,1,重要挽留客户
654,0,1,0,一般发展客户
655,0,1,0,一般发展客户
656,1,0,1,重要保持客户
657,0,1,0,一般发展客户
658,0,1,0,一般发展客户
659,1,0,1,重要保持客户
660,0,1,0,一般发展客户
661,0,1,0,一般发展客户
662,0,0,1,重要挽留客户
663,1,0,1,重要保持客户
664,0,1,0,一般发展客户
665,0,1,0,一般发展客户
666,0,1,0,一般发展客户
667,1,0,1,重要保持客户
668,1,1,1,重要价值客户
669,0,1,0,一般发展客户
670,1,0,0,一般保持客户
671,0,0,0,一般挽留客户
672,0,0,0,一般挽留客户
673,0,1,0,一般发展客户
674,1,0,1,重要保持客户
675,0,1,0,一般发展客户
676,0,1,0,一般发展客户
677,0,1,0,一般发展客户
678,0,1,0,一般发展客户
679,0,1,0,一般发展客户
680,0,1,0,一般发展客户
681,0,1,0,一般发展客户
682,0,1,0,一般发展客户
683,1,1,1,重要价值客户
684,0,1,0,一般发展客户
685,0,1,0,一般发展客户
686,0,1,0,一般发展客户
687,0,0,0,一般挽留客户
688,0,1,0,一般发展客户
689,0,1,0,一般发展客户
690,0,1,0,一般发展客户
691,1,0,1,重要保持客户
692,0,1,0,一般发展客户
693,0,1,0,一般发展客户
694,0,1,0,一般发展客户
695,0,1,0,一般发展客户
696,0,1,0,一般发展客户
697,0,1,0,一般发展客户
698,1,0,1,重要保持客户
699,0,0,0,一般挽留客户
700,0,1,0,一般发展客户
701,0,1,0,一般发展客户
702,1,0,1,重要保持客户
703,1,1,1,重要价值客户
704,0,0,0,一般挽留客户
705,0,0,0,一般挽留客户
706,0,1,0,一般发展客户
707,0,1,0,一般发展客户
708,0,1,0,一般发展客户
709,0,1,0,一般发展客户
710,1,0,1,重要保持客户
711,1,0,1,重要保持客户
712,0,0,0,一般挽留客户
713,0,1,0,一般发展客户
714,0,1,0,一般发展客户
715,0,1,0,一般发展客户
716,0,1,0,一般发展客户
717,0,0,0,一般挽留客户
718,0,0,0,一般挽留客户
719,0,1,0,一般发展客户
720,0,1,0,一般发展客户
721,0,1,0,一般发展客户
722,1,0,1,重要保持客户
723,0,1,0,一般发展客户
724,0,1,0,一般发展客户
725,0,1,0,一般发展客户
726,0,1,0,一般发展客户
727,0,1,0,一般发展客户
728,0,1,0,一般发展客户
729,1,0,1,重要保持客户
730,1,0,1,重要保持客户
731,0,0,0,一般挽留客户
732,1,0,1,重要保持客户
733,0,1,1,重要发展客户
734,0,0,0,一般挽留客户
735,0,0,0,一般挽留客户
736,0,1,0,一般发展客户
737,1,0,1,重要保持客户
738,0,1,0,一般发展客户
739,0,1,0,一般发展客户
740,0,1,0,一般发展客户
741,0,1,0,一般发展客户
742,1,1,1,重要价值客户
743,0,1,0,一般发展客户
744,1,0,1,重要保持客户
745,0,1,0,一般发展客户
746,1,0,1,重要保持客户
747,0,1,0,一般发展客户
748,0,1,0,一般发展客户
749,0,1,0,一般发展客户
750,0,1,0,一般发展客户
751,0,1,0,一般发展客户
752,0,1,0,一般发展客户
753,0,0,0,一般挽留客户
754,0,1,0,一般发展客户
755,0,1,0,一般发展客户
756,0,0,0,一般挽留客户
757,0,1,0,一般发展客户
758,1,0,1,重要保持客户
759,0,0,0,一般挽留客户
760,0,0,0,一般挽留客户
761,0,1,0,一般发展客户
762,0,1,0,一般发展客户
763,0,1,0,一般发展客户
764,0,0,0,一般挽留客户
765,1,0,1,重要保持客户
766,1,0,1,重要保持客户
767,1,0,1,重要保持客户
768,0,1,0,一般发展客户
769,0,1,0,一般发展客户
770,0,1,0,一般发展客户
771,0,1,0,一般发展客户
772,1,0,1,重要保持客户
773,1,0,1,重要保持客户
774,0,1,0,一般发展客户
775,1,1,1,重要价值客户
776,1,0,1,重要保持客户
777,0,1,0,一般发展客户
778,1,0,1,重要保持客户
779,0,1,0,一般发展客户
780,1,0,1,重要保持客户
781,0,1,0,一般发展客户
782,0,1,0,一般发展客户
783,1,0,1,重要保持客户
784,1,0,1,重要保持客户
785,0,1,0,一般发展客户
786,0,1,0,一般发展客户
787,1,1,1,重要价值客户
788,0,1,0,一般发展客户
789,0,0,0,一般挽留客户
790,1,0,1,重要保持客户
791,0,1,0,一般发展客户
792,0,1,0,一般发展客户
793,0,1,0,一般发展客户
794,0,1,0,一般发展客户
795,0,1,0,一般发展客户
796,0,1,0,一般发展客户
797,1,0,1,重要保持客户
798,0,1,0,一般发展客户
799,1,0,1,重要保持客户
800,1,0,1,重要保持客户
801,0,1,0,一般发展客户
802,0,1,0,一般发展客户
803,0,1,0,一般发展客户
804,0,0,0,一般挽留客户
805,1,0,0,一般保持客户
806,1,0,1,重要保持客户
807,0,1,0,一般发展客户
808,1,0,1,重要保持客户
809,0,1,0,一般发展客户
810,0,1,0,一般发展客户
811,1,0,1,重要保持客户
812,0,1,0,一般发展客户
813,1,1,1,重要价值客户
814,0,1,1,重要发展客户
815,0,1,0,一般发展客户
816,0,1,0,一般发展客户
817,0,1,0,一般发展客户
818,0,1,0,一般发展客户
819,1,1,1,重要价值客户
820,0,0,0,一般挽留客户
821,1,0,0,一般保持客户
822,1,1,1,重要价值客户
823,0,1,0,一般发展客户
824,1,0,1,重要保持客户
825,1,0,1,重要保持客户
826,0,1,0,一般发展客户
827,1,0,1,重要保持客户
828,0,1,0,一般发展客户
829,0,1,0,一般发展客户
830,0,0,0,一般挽留客户
831,0,1,0,一般发展客户
832,0,1,0,一般发展客户
833,0,1,0,一般发展客户
834,0,1,0,一般发展客户
835,0,1,0,一般发展客户
836,1,0,1,重要保持客户
837,0,0,0,一般挽留客户
838,0,1,0,一般发展客户
839,0,1,0,一般发展客户
840,0,0,0,一般挽留客户
841,0,1,0,一般发展客户
842,0,1,0,一般发展客户
843,1,0,1,重要保持客户
844,0,1,0,一般发展客户
845,1,0,1,重要保持客户
846,1,0,1,重要保持客户
847,0,1,0,一般发展客户
848,0,0,1,重要挽留客户
849,1,0,1,重要保持客户
850,1,0,1,重要保持客户
851,0,1,0,一般发展客户
852,0,1,0,一般发展客户
853,0,1,0,一般发展客户
854,0,1,0,一般发展客户
855,0,1,1,重要发展客户
856,1,0,1,重要保持客户
857,0,1,0,一般发展客户
858,0,1,0,一般发展客户
859,0,0,0,一般挽留客户
860,1,0,1,重要保持客户
861,0,0,0,一般挽留客户
862,0,1,0,一般发展客户
863,0,1,0,一般发展客户
864,0,1,0,一般发展客户
865,0,1,1,重要发展客户
866,0,1,0,一般发展客户
867,0,1,0,一般发展客户
868,0,1,0,一般发展客户
869,0,1,0,一般发展客户
870,1,0,1,重要保持客户
871,0,0,0,一般挽留客户
872,0,1,0,一般发展客户
873,1,0,1,重要保持客户
874,0,0,1,重要挽留客户
875,0,1,0,一般发展客户
876,0,1,0,一般发展客户
877,0,1,0,一般发展客户
878,0,1,0,一般发展客户
879,0,1,0,一般发展客户
880,0,1,0,一般发展客户
881,1,0,1,重要保持客户
882,0,0,0,一般挽留客户
883,0,1,0,一般发展客户
884,0,1,0,一般发展客户
885,0,1,0,一般发展客户
886,0,1,0,一般发展客户
887,1,0,1,重要保持客户
888,0,1,0,一般发展客户
889,0,1,0,一般发展客户
890,0,1,0,一般发展客户
891,1,0,1,重要保持客户
892,1,0,1,重要保持客户
893,0,1,1,重要发展客户
894,1,0,1,重要保持客户
895,0,1,0,一般发展客户
896,1,0,1,重要保持客户
897,0,1,0,一般发展客户
898,0,1,0,一般发展客户
899,0,1,1,重要发展客户
900,0,1,0,一般发展客户
901,0,0,0,一般挽留客户
902,0,1,0,一般发展客户
903,0,1,0,一般发展客户
904,0,1,0,一般发展客户
905,0,0,0,一般挽留客户
906,0,1,0,一般发展客户
907,0,1,0,一般发展客户
908,0,1,0,一般发展客户
909,0,1,0,一般发展客户
910,1,0,1,重要保持客户
911,0,1,0,一般发展客户
912,1,1,0,一般价值客户
913,0,1,0,一般发展客户
914,0,1,0,一般发展客户
915,0,0,0,一般挽留客户
916,0,1,0,一般发展客户
917,0,1,0,一般发展客户
918,1,0,1,重要保持客户
919,0,1,0,一般发展客户
920,1,0,1,重要保持客户
921,0,1,0,一般发展客户
922,0,1,0,一般发展客户
